2018-04-15 10:12:08,622 [MainThread:9932] [django.db.backends:111] [utils:execute] [DEBUG]- (0.017) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-04-15 10:12:08,634 [MainThread:9932] [django.db.backends:111] [utils:execute] [DEBUG]- (0.012) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-04-15 10:12:08,650 [MainThread:9932] [django.db.backends:111] [utils:execute] [DEBUG]- (0.016) SELECT VERSION(); args=None
2018-04-15 10:14:19,081 [MainThread:16072] [django.db.backends:111] [utils:execute] [DEBUG]- (0.009) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-04-15 10:14:19,094 [MainThread:16072] [django.db.backends:111] [utils:execute] [DEBUG]- (0.013) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-04-15 10:14:19,106 [MainThread:16072] [django.db.backends:111] [utils:execute] [DEBUG]- (0.010) SELECT VERSION(); args=None
2018-04-15 10:14:35,218 [MainThread:8832] [django.db.backends:111] [utils:execute] [DEBUG]- (0.020) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-04-15 10:14:35,227 [MainThread:8832] [django.db.backends:111] [utils:execute] [DEBUG]- (0.009) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-04-15 10:14:35,243 [MainThread:8832] [django.db.backends:111] [utils:execute] [DEBUG]- (0.015) SELECT VERSION(); args=None
2018-04-15 10:14:53,821 [MainThread:14756] [django.db.backends:111] [utils:execute] [DEBUG]- (0.011) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-04-15 10:14:53,843 [MainThread:14756] [django.db.backends:111] [utils:execute] [DEBUG]- (0.021) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-04-15 10:14:53,856 [MainThread:14756] [django.db.backends:111] [utils:execute] [DEBUG]- (0.013) SELECT VERSION(); args=None
2018-04-15 10:15:06,569 [MainThread:7268] [django.db.backends:111] [utils:execute] [DEBUG]- (0.028) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-04-15 10:15:06,587 [MainThread:7268] [django.db.backends:111] [utils:execute] [DEBUG]- (0.018) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2018-04-15 10:15:06,610 [MainThread:7268] [django.db.backends:111] [utils:execute] [DEBUG]- (0.022) SELECT VERSION(); args=None
2018-04-15 10:15:48,129 [MainThread:9236] [django.db.backends:111] [utils:execute] [DEBUG]- (0.013) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-04-15 10:15:48,145 [MainThread:9236] [django.db.backends:111] [utils:execute] [DEBUG]- (0.016) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
